aligned_dna_short_read_id,experiment_dna_short_read_id,aligned_dna_short_read_file,aligned_dna_short_read_index_file,md_5_sum,reference_assembly,alignment_software,mean_coverage,analysis_details,reference_assembly_details,reference_assembly_uri,quality_issues
PMGRC-110-108-1_LS3516235_SQ6121_1,PMGRC-110-108-1_LS3516235_SQ6121,gs://fc-secure-f27a9d2e-f2a0-4eb3-8276-fe8a570ba591/cram/PMGRC-110-108-1_LS3516235_SQ6121.cram,gs://fc-secure-f27a9d2e-f2a0-4eb3-8276-fe8a570ba591/cram/PMGRC-110-108-1_LS3516235_SQ6121.crai,,GRCh38,bwa 0.7.17,45.9,"Raw reads were trimmed with fastp 0.23.2 and aligned to GRCh38 (no alts) with bwa 0.7.17. Duplicates were marked and removed with GATK 4.3.0 MarkDuplicates, and BQSR was applied. Mean depth was computed with somalier 0.2.16.",,,
PMGRC-111-107-2_LS3516221_SQ6129_1,PMGRC-111-107-2_LS3516221_SQ6129,gs://fc-secure-f27a9d2e-f2a0-4eb3-8276-fe8a570ba591/cram/PMGRC-111-107-2_LS3516221_SQ6129.cram,gs://fc-secure-f27a9d2e-f2a0-4eb3-8276-fe8a570ba591/cram/PMGRC-111-107-2_LS3516221_SQ6129.crai,,GRCh38,bwa 0.7.17,52.2,"Raw reads were trimmed with fastp 0.23.2 and aligned to GRCh38 (no alts) with bwa 0.7.17. Duplicates were marked and removed with GATK 4.3.0 MarkDuplicates, and BQSR was applied. Mean depth was computed with somalier 0.2.16.",,,
PMGRC-113-114-2_LS3516156_SQ6090_1,PMGRC-113-114-2_LS3516156_SQ6090,gs://fc-secure-f27a9d2e-f2a0-4eb3-8276-fe8a570ba591/cram/PMGRC-113-114-2_LS3516156_SQ6090.cram,gs://fc-secure-f27a9d2e-f2a0-4eb3-8276-fe8a570ba591/cram/PMGRC-113-114-2_LS3516156_SQ6090.crai,,GRCh38,bwa 0.7.17,37.9,"Raw reads were trimmed with fastp 0.23.2 and aligned to GRCh38 (no alts) with bwa 0.7.17. Duplicates were marked and removed with GATK 4.3.0 MarkDuplicates, and BQSR was applied. Mean depth was computed with somalier 0.2.16.",,,
PMGRC-114-114-0_LS3516152_SQ6086_1,PMGRC-114-114-0_LS3516152_SQ6086,gs://fc-secure-f27a9d2e-f2a0-4eb3-8276-fe8a570ba591/cram/PMGRC-114-114-0_LS3516152_SQ6086.cram,gs://fc-secure-f27a9d2e-f2a0-4eb3-8276-fe8a570ba591/cram/PMGRC-114-114-0_LS3516152_SQ6086.crai,,GRCh38,bwa 0.7.17,37.6,"Raw reads were trimmed with fastp 0.23.2 and aligned to GRCh38 (no alts) with bwa 0.7.17. Duplicates were marked and removed with GATK 4.3.0 MarkDuplicates, and BQSR was applied. Mean depth was computed with somalier 0.2.16.",,,
PMGRC-115-114-1_LS3516151_SQ6085_1,PMGRC-115-114-1_LS3516151_SQ6085,gs://fc-secure-f27a9d2e-f2a0-4eb3-8276-fe8a570ba591/cram/PMGRC-115-114-1_LS3516151_SQ6085.cram,gs://fc-secure-f27a9d2e-f2a0-4eb3-8276-fe8a570ba591/cram/PMGRC-115-114-1_LS3516151_SQ6085.crai,,GRCh38,bwa 0.7.17,29.9,"Raw reads were trimmed with fastp 0.23.2 and aligned to GRCh38 (no alts) with bwa 0.7.17. Duplicates were marked and removed with GATK 4.3.0 MarkDuplicates, and BQSR was applied. Mean depth was computed with somalier 0.2.16.",,,
PMGRC-116-116-0_LS3516164_SQ6098_1,PMGRC-116-116-0_LS3516164_SQ6098,gs://fc-secure-f27a9d2e-f2a0-4eb3-8276-fe8a570ba591/cram/PMGRC-116-116-0_LS3516164_SQ6098.cram,gs://fc-secure-f27a9d2e-f2a0-4eb3-8276-fe8a570ba591/cram/PMGRC-116-116-0_LS3516164_SQ6098.crai,,GRCh38,bwa 0.7.17,22,"Raw reads were trimmed with fastp 0.23.2 and aligned to GRCh38 (no alts) with bwa 0.7.17. Duplicates were marked and removed with GATK 4.3.0 MarkDuplicates, and BQSR was applied. Mean depth was computed with somalier 0.2.16.",,,
PMGRC-117-116-2_LS3516161_SQ6095_1,PMGRC-117-116-2_LS3516161_SQ6095,gs://fc-secure-f27a9d2e-f2a0-4eb3-8276-fe8a570ba591/cram/PMGRC-117-116-2_LS3516161_SQ6095.cram,gs://fc-secure-f27a9d2e-f2a0-4eb3-8276-fe8a570ba591/cram/PMGRC-117-116-2_LS3516161_SQ6095.crai,,GRCh38,bwa 0.7.17,51,"Raw reads were trimmed with fastp 0.23.2 and aligned to GRCh38 (no alts) with bwa 0.7.17. Duplicates were marked and removed with GATK 4.3.0 MarkDuplicates, and BQSR was applied. Mean depth was computed with somalier 0.2.16.",,,
PMGRC-119-118-2_LS4743022_SQ6099_1,PMGRC-119-118-2_LS4743022_SQ6099,gs://fc-secure-e5065947-acd3-4407-9b96-6a5443b7f7f5/cram/PMGRC-119-118-2_LS4743022_SQ6099.cram,gs://fc-secure-e5065947-acd3-4407-9b96-6a5443b7f7f5/cram/PMGRC-119-118-2_LS4743022_SQ6099.crai,a624d7233fff89352fd4cba97ca8835b,GRCh38,bwa 0.7.17,75.5,"Raw reads were trimmed with fastp 0.23.2 and aligned to GRCh38 (no alts) with bwa 0.7.17. Duplicates were marked and removed with GATK 4.3.0 MarkDuplicates, and BQSR was applied. Mean depth was computed with somalier 0.2.16.","GRCh38, no alts",ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/001/405/GCA_000001405.15_GRCh38/seqs_for_alignment_pipelines.ucsc_ids/GCA_000001405.15_GRCh38_no_alt_analysis_set.fna.gz,
PMGRC-12-11-2_LS3516165_SQ6099_1,PMGRC-12-11-2_LS3516165_SQ6099,gs://fc-secure-f27a9d2e-f2a0-4eb3-8276-fe8a570ba591/cram/PMGRC-12-11-2_LS3516165_SQ6099.cram,gs://fc-secure-f27a9d2e-f2a0-4eb3-8276-fe8a570ba591/cram/PMGRC-12-11-2_LS3516165_SQ6099.crai,,GRCh38,bwa 0.7.17,45.1,"Raw reads were trimmed with fastp 0.23.2 and aligned to GRCh38 (no alts) with bwa 0.7.17. Duplicates were marked and removed with GATK 4.3.0 MarkDuplicates, and BQSR was applied. Mean depth was computed with somalier 0.2.16.",,,
PMGRC-120-118-1_LS4743013_SQ6090_1,PMGRC-120-118-1_LS4743013_SQ6090,gs://fc-secure-e5065947-acd3-4407-9b96-6a5443b7f7f5/cram/PMGRC-120-118-1_LS4743013_SQ6090.cram,gs://fc-secure-e5065947-acd3-4407-9b96-6a5443b7f7f5/cram/PMGRC-120-118-1_LS4743013_SQ6090.crai,7e6d4e62f4341ff1c22c5ed93484179c,GRCh38,bwa 0.7.17,48.4,"Raw reads were trimmed with fastp 0.23.2 and aligned to GRCh38 (no alts) with bwa 0.7.17. Duplicates were marked and removed with GATK 4.3.0 MarkDuplicates, and BQSR was applied. Mean depth was computed with somalier 0.2.16.","GRCh38, no alts",ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/001/405/GCA_000001405.15_GRCh38/seqs_for_alignment_pipelines.ucsc_ids/GCA_000001405.15_GRCh38_no_alt_analysis_set.fna.gz,
PMGRC-121-122-2_LS3762949_SQ6093_1,PMGRC-121-122-2_LS3762949_SQ6093,gs://fc-secure-f27a9d2e-f2a0-4eb3-8276-fe8a570ba591/cram/PMGRC-121-122-2_LS3762949_SQ6093.cram,gs://fc-secure-f27a9d2e-f2a0-4eb3-8276-fe8a570ba591/cram/PMGRC-121-122-2_LS3762949_SQ6093.crai,,GRCh38,bwa 0.7.17,22.2,"Raw reads were trimmed with fastp 0.23.2 and aligned to GRCh38 (no alts) with bwa 0.7.17. Duplicates were marked and removed with GATK 4.3.0 MarkDuplicates, and BQSR was applied. Mean depth was computed with somalier 0.2.16.",,,
PMGRC-122-122-0_LS3762943_SQ6087_1,PMGRC-122-122-0_LS3762943_SQ6087,gs://fc-secure-f27a9d2e-f2a0-4eb3-8276-fe8a570ba591/cram/PMGRC-122-122-0_LS3762943_SQ6087.cram,gs://fc-secure-f27a9d2e-f2a0-4eb3-8276-fe8a570ba591/cram/PMGRC-122-122-0_LS3762943_SQ6087.crai,,GRCh38,bwa 0.7.17,39,"Raw reads were trimmed with fastp 0.23.2 and aligned to GRCh38 (no alts) with bwa 0.7.17. Duplicates were marked and removed with GATK 4.3.0 MarkDuplicates, and BQSR was applied. Mean depth was computed with somalier 0.2.16.",,,
PMGRC-123-122-1_LS3762944_SQ6088_1,PMGRC-123-122-1_LS3762944_SQ6088,gs://fc-secure-f27a9d2e-f2a0-4eb3-8276-fe8a570ba591/cram/PMGRC-123-122-1_LS3762944_SQ6088.cram,gs://fc-secure-f27a9d2e-f2a0-4eb3-8276-fe8a570ba591/cram/PMGRC-123-122-1_LS3762944_SQ6088.crai,,GRCh38,bwa 0.7.17,31,"Raw reads were trimmed with fastp 0.23.2 and aligned to GRCh38 (no alts) with bwa 0.7.17. Duplicates were marked and removed with GATK 4.3.0 MarkDuplicates, and BQSR was applied. Mean depth was computed with somalier 0.2.16.",,,
PMGRC-124-124-0_LS4073428_SQ6082_1,PMGRC-124-124-0_LS4073428_SQ6082,gs://fc-secure-f27a9d2e-f2a0-4eb3-8276-fe8a570ba591/cram/PMGRC-124-124-0_LS4073428_SQ6082.cram,gs://fc-secure-f27a9d2e-f2a0-4eb3-8276-fe8a570ba591/cram/PMGRC-124-124-0_LS4073428_SQ6082.crai,,GRCh38,bwa 0.7.17,50.6,"Raw reads were trimmed with fastp 0.23.2 and aligned to GRCh38 (no alts) with bwa 0.7.17. Duplicates were marked and removed with GATK 4.3.0 MarkDuplicates, and BQSR was applied. Mean depth was computed with somalier 0.2.16.",,,
PMGRC-125-125-0_LS4743009_SQ6119_1,PMGRC-125-125-0_LS4743009_SQ6119,gs://fc-secure-e5065947-acd3-4407-9b96-6a5443b7f7f5/cram/PMGRC-125-125-0_LS4743009_SQ6119.cram,gs://fc-secure-e5065947-acd3-4407-9b96-6a5443b7f7f5/cram/PMGRC-125-125-0_LS4743009_SQ6119.crai,7079280aaa6156a59ac5d79fd6298259,GRCh38,bwa 0.7.17,54.0,"Raw reads were trimmed with fastp 0.23.2 and aligned to GRCh38 (no alts) with bwa 0.7.17. Duplicates were marked and removed with GATK 4.3.0 MarkDuplicates, and BQSR was applied. Mean depth was computed with somalier 0.2.16.","GRCh38, no alts",ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/001/405/GCA_000001405.15_GRCh38/seqs_for_alignment_pipelines.ucsc_ids/GCA_000001405.15_GRCh38_no_alt_analysis_set.fna.gz,
PMGRC-126-125-2_LS3516174_SQ6126_1,PMGRC-126-125-2_LS3516174_SQ6126,gs://fc-secure-f27a9d2e-f2a0-4eb3-8276-fe8a570ba591/cram/PMGRC-126-125-2_LS3516174_SQ6126.cram,gs://fc-secure-f27a9d2e-f2a0-4eb3-8276-fe8a570ba591/cram/PMGRC-126-125-2_LS3516174_SQ6126.crai,,GRCh38,bwa 0.7.17,45.7,"Raw reads were trimmed with fastp 0.23.2 and aligned to GRCh38 (no alts) with bwa 0.7.17. Duplicates were marked and removed with GATK 4.3.0 MarkDuplicates, and BQSR was applied. Mean depth was computed with somalier 0.2.16.",,,
PMGRC-127-125-1_LS3516162_SQ6096_1,PMGRC-127-125-1_LS3516162_SQ6096,gs://fc-secure-f27a9d2e-f2a0-4eb3-8276-fe8a570ba591/cram/PMGRC-127-125-1_LS3516162_SQ6096.cram,gs://fc-secure-f27a9d2e-f2a0-4eb3-8276-fe8a570ba591/cram/PMGRC-127-125-1_LS3516162_SQ6096.crai,,GRCh38,bwa 0.7.17,27.8,"Raw reads were trimmed with fastp 0.23.2 and aligned to GRCh38 (no alts) with bwa 0.7.17. Duplicates were marked and removed with GATK 4.3.0 MarkDuplicates, and BQSR was applied. Mean depth was computed with somalier 0.2.16.",,,
PMGRC-128-116-1_LS3516215_SQ6053_1,PMGRC-128-116-1_LS3516215_SQ6053,gs://fc-secure-f27a9d2e-f2a0-4eb3-8276-fe8a570ba591/cram/PMGRC-128-116-1_LS3516215_SQ6053.cram,gs://fc-secure-f27a9d2e-f2a0-4eb3-8276-fe8a570ba591/cram/PMGRC-128-116-1_LS3516215_SQ6053.crai,,GRCh38,bwa 0.7.17,38.2,"Raw reads were trimmed with fastp 0.23.2 and aligned to GRCh38 (no alts) with bwa 0.7.17. Duplicates were marked and removed with GATK 4.3.0 MarkDuplicates, and BQSR was applied. Mean depth was computed with somalier 0.2.16.",,,
PMGRC-129-129-0_LS4268781_SQ6085_1,PMGRC-129-129-0_LS4268781_SQ6085,gs://fc-secure-24949661-c351-4884-990f-167096bc2353/cram/PMGRC-129-129-0_LS4268781_SQ6085.cram,gs://fc-secure-24949661-c351-4884-990f-167096bc2353/cram/PMGRC-129-129-0_LS4268781_SQ6085.crai,370f42c0affd8ce8802e44a954c61d43,GRCh38,bwa 0.7.17,47,"Raw reads were trimmed with fastp 0.23.2 and aligned to GRCh38 (no alts) with bwa 0.7.17. Duplicates were marked and removed with GATK 4.3.0 MarkDuplicates, and BQSR was applied. Mean depth was computed with somalier 0.2.16.",,,
PMGRC-13-13-0_LS3516194_SQ6080_1,PMGRC-13-13-0_LS3516194_SQ6080,gs://fc-secure-f27a9d2e-f2a0-4eb3-8276-fe8a570ba591/cram/PMGRC-13-13-0_LS3516194_SQ6080.cram,gs://fc-secure-f27a9d2e-f2a0-4eb3-8276-fe8a570ba591/cram/PMGRC-13-13-0_LS3516194_SQ6080.crai,,GRCh38,bwa 0.7.17,36.2,"Raw reads were trimmed with fastp 0.23.2 and aligned to GRCh38 (no alts) with bwa 0.7.17. Duplicates were marked and removed with GATK 4.3.0 MarkDuplicates, and BQSR was applied. Mean depth was computed with somalier 0.2.16.",,,
PMGRC-130-130-0_LS3516168_SQ6102_1,PMGRC-130-130-0_LS3516168_SQ6102,gs://fc-secure-f27a9d2e-f2a0-4eb3-8276-fe8a570ba591/cram/PMGRC-130-130-0_LS3516168_SQ6102.cram,gs://fc-secure-f27a9d2e-f2a0-4eb3-8276-fe8a570ba591/cram/PMGRC-130-130-0_LS3516168_SQ6102.crai,,GRCh38,bwa 0.7.17,40.2,"Raw reads were trimmed with fastp 0.23.2 and aligned to GRCh38 (no alts) with bwa 0.7.17. Duplicates were marked and removed with GATK 4.3.0 MarkDuplicates, and BQSR was applied. Mean depth was computed with somalier 0.2.16.",,,
PMGRC-131-131-0_LS3516176_SQ6062_1,PMGRC-131-131-0_LS3516176_SQ6062,gs://fc-secure-f27a9d2e-f2a0-4eb3-8276-fe8a570ba591/cram/PMGRC-131-131-0_LS3516176_SQ6062.cram,gs://fc-secure-f27a9d2e-f2a0-4eb3-8276-fe8a570ba591/cram/PMGRC-131-131-0_LS3516176_SQ6062.crai,,GRCh38,bwa 0.7.17,35.1,"Raw reads were trimmed with fastp 0.23.2 and aligned to GRCh38 (no alts) with bwa 0.7.17. Duplicates were marked and removed with GATK 4.3.0 MarkDuplicates, and BQSR was applied. Mean depth was computed with somalier 0.2.16.",,,
PMGRC-132-131-2_LS3516177_SQ6063_1,PMGRC-132-131-2_LS3516177_SQ6063,gs://fc-secure-f27a9d2e-f2a0-4eb3-8276-fe8a570ba591/cram/PMGRC-132-131-2_LS3516177_SQ6063.cram,gs://fc-secure-f27a9d2e-f2a0-4eb3-8276-fe8a570ba591/cram/PMGRC-132-131-2_LS3516177_SQ6063.crai,,GRCh38,bwa 0.7.17,49.8,"Raw reads were trimmed with fastp 0.23.2 and aligned to GRCh38 (no alts) with bwa 0.7.17. Duplicates were marked and removed with GATK 4.3.0 MarkDuplicates, and BQSR was applied. Mean depth was computed with somalier 0.2.16.",,,
PMGRC-133-131-1_LS3516178_SQ6064_1,PMGRC-133-131-1_LS3516178_SQ6064,gs://fc-secure-f27a9d2e-f2a0-4eb3-8276-fe8a570ba591/cram/PMGRC-133-131-1_LS3516178_SQ6064.cram,gs://fc-secure-f27a9d2e-f2a0-4eb3-8276-fe8a570ba591/cram/PMGRC-133-131-1_LS3516178_SQ6064.crai,,GRCh38,bwa 0.7.17,39,"Raw reads were trimmed with fastp 0.23.2 and aligned to GRCh38 (no alts) with bwa 0.7.17. Duplicates were marked and removed with GATK 4.3.0 MarkDuplicates, and BQSR was applied. Mean depth was computed with somalier 0.2.16.",,,
PMGRC-135-107-1_LS3516219_SQ6057_1,PMGRC-135-107-1_LS3516219_SQ6057,gs://fc-secure-f27a9d2e-f2a0-4eb3-8276-fe8a570ba591/cram/PMGRC-135-107-1_LS3516219_SQ6057.cram,gs://fc-secure-f27a9d2e-f2a0-4eb3-8276-fe8a570ba591/cram/PMGRC-135-107-1_LS3516219_SQ6057.crai,,GRCh38,bwa 0.7.17,33.2,"Raw reads were trimmed with fastp 0.23.2 and aligned to GRCh38 (no alts) with bwa 0.7.17. Duplicates were marked and removed with GATK 4.3.0 MarkDuplicates, and BQSR was applied. Mean depth was computed with somalier 0.2.16.",,,
PMGRC-136-136-0_LS4268788_SQ6092_1,PMGRC-136-136-0_LS4268788_SQ6092,gs://fc-secure-24949661-c351-4884-990f-167096bc2353/cram/PMGRC-136-136-0_LS4268788_SQ6092.cram,gs://fc-secure-24949661-c351-4884-990f-167096bc2353/cram/PMGRC-136-136-0_LS4268788_SQ6092.crai,19e7fdec43de473d238175ef04306000,GRCh38,bwa 0.7.17,42.8,"Raw reads were trimmed with fastp 0.23.2 and aligned to GRCh38 (no alts) with bwa 0.7.17. Duplicates were marked and removed with GATK 4.3.0 MarkDuplicates, and BQSR was applied. Mean depth was computed with somalier 0.2.16.",,,
PMGRC-137-137-0_LS3516163_SQ6097_1,PMGRC-137-137-0_LS3516163_SQ6097,gs://fc-secure-f27a9d2e-f2a0-4eb3-8276-fe8a570ba591/cram/PMGRC-137-137-0_LS3516163_SQ6097.cram,gs://fc-secure-f27a9d2e-f2a0-4eb3-8276-fe8a570ba591/cram/PMGRC-137-137-0_LS3516163_SQ6097.crai,,GRCh38,bwa 0.7.17,33.5,"Raw reads were trimmed with fastp 0.23.2 and aligned to GRCh38 (no alts) with bwa 0.7.17. Duplicates were marked and removed with GATK 4.3.0 MarkDuplicates, and BQSR was applied. Mean depth was computed with somalier 0.2.16.",,,
PMGRC-138-104-2_LS4073404_SQ6095_1,PMGRC-138-104-2_LS4073404_SQ6095,gs://fc-secure-f27a9d2e-f2a0-4eb3-8276-fe8a570ba591/cram/PMGRC-138-104-2_LS4073404_SQ6095.cram,gs://fc-secure-f27a9d2e-f2a0-4eb3-8276-fe8a570ba591/cram/PMGRC-138-104-2_LS4073404_SQ6095.crai,,GRCh38,bwa 0.7.17,49.4,"Raw reads were trimmed with fastp 0.23.2 and aligned to GRCh38 (no alts) with bwa 0.7.17. Duplicates were marked and removed with GATK 4.3.0 MarkDuplicates, and BQSR was applied. Mean depth was computed with somalier 0.2.16.",,,
PMGRC-139-11-1_LS3516166_SQ6100_1,PMGRC-139-11-1_LS3516166_SQ6100,gs://fc-secure-f27a9d2e-f2a0-4eb3-8276-fe8a570ba591/cram/PMGRC-139-11-1_LS3516166_SQ6100.cram,gs://fc-secure-f27a9d2e-f2a0-4eb3-8276-fe8a570ba591/cram/PMGRC-139-11-1_LS3516166_SQ6100.crai,,GRCh38,bwa 0.7.17,37.8,"Raw reads were trimmed with fastp 0.23.2 and aligned to GRCh38 (no alts) with bwa 0.7.17. Duplicates were marked and removed with GATK 4.3.0 MarkDuplicates, and BQSR was applied. Mean depth was computed with somalier 0.2.16.",,,
PMGRC-140-104-1_LS4698935_SQ6086_1,PMGRC-140-104-1_LS4698935_SQ6086,gs://fc-secure-e5065947-acd3-4407-9b96-6a5443b7f7f5/cram/PMGRC-140-104-1_LS4698935_SQ6086.cram,gs://fc-secure-e5065947-acd3-4407-9b96-6a5443b7f7f5/cram/PMGRC-140-104-1_LS4698935_SQ6086.crai,ff96c035677320ac4a0eed45b341b34f,GRCh38,bwa 0.7.17,46.1,"Raw reads were trimmed with fastp 0.23.2 and aligned to GRCh38 (no alts) with bwa 0.7.17. Duplicates were marked and removed with GATK 4.3.0 MarkDuplicates, and BQSR was applied. Mean depth was computed with somalier 0.2.16.","GRCh38, no alts",ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/001/405/GCA_000001405.15_GRCh38/seqs_for_alignment_pipelines.ucsc_ids/GCA_000001405.15_GRCh38_no_alt_analysis_set.fna.gz,
